group	fill	clickSelects
931	#FFFFFF	3529
932	#FFFFFF	3529
933	#FFFFFF	788
934	#FFFFFF	1337
935	#FFFFFF	3529
936	#FFFFFF	788
937	#FFFFFF	788
938	#FFFFFF	788
939	#FFFFFF	788
940	#FFFFFF	788
941	#FFFFFF	623
942	#FFFFFF	623
943	#FFFFFF	623
944	#FFFFFF	623
945	#FFFFFF	1337
946	#FFFFFF	623
947	#FFFFFF	623
948	#FFFFFF	788
949	#FFFFFF	788
950	#FFFFFF	788
951	#FFFFFF	788
952	#FFFFFF	788
953	#FFFFFF	788
954	#FFFFFF	788
955	#FFFFFF	1337
956	#FFFFFF	2630
957	#FFFFFF	2630
958	#FFFFFF	2630
959	#FFFFFF	2630
961	#FFFFFF	488
962	#FFFFFF	488
963	#FFFFFF	2630
964	#FFFFFF	2630
965	#FFFFFF	2630
966	#FFFFFF	2630
967	#FFFFFF	2630
968	#FFFFFF	2630
969	#FFFFFF	2630
970	#FFFFFF	2630
971	#FFFFFF	2630
972	#FFFFFF	2630
973	#FFFFFF	488
974	#FFFFFF	788
975	#FFFFFF	788
976	#FFFFFF	788
977	#FFFFFF	788
978	#FFFFFF	788
979	#FFFFFF	3529
980	#FFFFFF	3529
981	#FFFFFF	3529
982	#FFFFFF	3529
983	#FFFFFF	3529
984	#FFFFFF	1337
985	#FFFFFF	788
986	#FFFFFF	3529
987	#FFFFFF	788
988	#FFFFFF	3529
989	#FFFFFF	788
990	#FFFFFF	788
991	#FFFFFF	623
992	#FFFFFF	623
993	#FFFFFF	623
994	#FFFFFF	623
995	#FFFFFF	1337
996	#FFFFFF	623
997	#FFFFFF	623
998	#FFFFFF	788
999	#FFFFFF	788
1000	#FFFFFF	788
1001	#FFFFFF	788
1002	#FFFFFF	788
1003	#FFFFFF	788
1004	#FFFFFF	788
1006	#FFFFFF	1337
1007	#FFFFFF	1337
1008	#FFFFFF	2630
1009	#FFFFFF	2630
1010	#FFFFFF	2630
1011	#FFFFFF	488
1012	#FFFFFF	488
1013	#FFFFFF	1337
1014	#FFFFFF	2630
1015	#FFFFFF	2630
1016	#FFFFFF	2630
1017	#FFFFFF	2630
1018	#FFFFFF	2630
1019	#FFFFFF	2630
1020	#FFFFFF	2630
1021	#FFFFFF	2630
1022	#FFFFFF	2630
1023	#FFFFFF	2630
1024	#FFFFFF	1337
1025	#FFFFFF	788
1026	#FFFFFF	788
1027	#FFFFFF	788
1028	#FFFFFF	788
1029	#FFFFFF	788
1030	#FFFFFF	3529
1031	#FFFFFF	788
1032	#FFFFFF	3529
1033	#FFFFFF	3529
1034	#FFFFFF	788
1035	#FFFFFF	1337
1036	#FFFFFF	788
1037	#FFFFFF	3529
1038	#FFFFFF	3529
1039	#FFFFFF	3529
1040	#FFFFFF	788
1041	#FFFFFF	788
1042	#FFFFFF	623
1043	#FFFFFF	788
1044	#FFFFFF	623
1045	#FFFFFF	623
1046	#FFFFFF	1337
1047	#FFFFFF	623
1048	#FFFFFF	623
1049	#FFFFFF	623
1050	#FFFFFF	623
1051	#FFFFFF	788
1052	#FFFFFF	788
1053	#FFFFFF	788
1054	#FFFFFF	788
1055	#FFFFFF	788
1056	#FFFFFF	1337
1057	#FFFFFF	1337
1058	#FFFFFF	2630
1059	#FFFFFF	2630
1060	#FFFFFF	2630
1062	#FFFFFF	488
1063	#FFFFFF	1337
1064	#FFFFFF	2630
1065	#FFFFFF	2630
1066	#FFFFFF	2630
1067	#FFFFFF	2630
1068	#FFFFFF	2630
1069	#FFFFFF	2630
1070	#FFFFFF	2630
1071	#FFFFFF	2630
1072	#FFFFFF	2630
1073	#FFFFFF	788
1074	#FFFFFF	1337
1075	#FFFFFF	788
1076	#FFFFFF	788
1077	#FFFFFF	788
1078	#FFFFFF	788
1079	#FFFFFF	788
1080	#FFFFFF	788
1081	#FFFFFF	788
1082	#FFFFFF	3529
1083	#FFFFFF	3529
1084	#FFFFFF	3529
1085	#FFFFFF	1337
1086	#FFFFFF	788
1087	#FFFFFF	3529
1088	#FFFFFF	3529
1089	#FFFFFF	3529
1090	#FFFFFF	3529
1091	#FFFFFF	788
1092	#FFFFFF	788
1093	#FFFFFF	788
1094	#FFFFFF	788
1095	#FFFFFF	623
1096	#FFFFFF	1337
1097	#FFFFFF	623
1098	#FFFFFF	623
1099	#FFFFFF	623
1100	#FFFFFF	623
1101	#FFFFFF	623
1102	#FFFFFF	623
1103	#FFFFFF	788
1104	#FFFFFF	788
1105	#FFFFFF	788
1107	#FFFFFF	1337
1108	#FFFFFF	1337
1109	#FFFFFF	1337
1110	#FFFFFF	1337
1111	#FFFFFF	1337
1112	#FFFFFF	1337
1113	#FFFFFF	1337
1114	#FFFFFF	1337
1115	#FFFFFF	2630
1116	#FFFFFF	2630
1117	#FFFFFF	2630
1118	#FFFFFF	2630
1119	#FFFFFF	2630
1120	#FFFFFF	2630
1121	#FFFFFF	2630
1122	#FFFFFF	2630
1123	#FFFFFF	2630
1124	#FFFFFF	788
1125	#FFFFFF	1337
1126	#FFFFFF	788
1127	#FFFFFF	788
1128	#FFFFFF	788
1129	#FFFFFF	788
1130	#FFFFFF	788
1131	#FFFFFF	788
1132	#FFFFFF	3529
1133	#FFFFFF	3529
1134	#FFFFFF	3529
1135	#FFFFFF	3529
1136	#FFFFFF	1337
1137	#FFFFFF	3529
1138	#FFFFFF	3529
1139	#FFFFFF	3529
